Forma de la Evaluación,Número de la pregunta,Respuesta
7811833,1,"a"
7811833,2,"c"
7811833,3,"a"
7811833,4,"c"
7811833,5,"b"
7811833,6,"b"
7811833,7,"d"
7811833,8,"c"
7811833,9,"a"
7811833,10,"b"
7811833,11,"a"
7811833,12,""
7811833,13,""
7811833,14,""
7811833,15,""
7811833,16,""
7811833,17,""
7811833,18,""
7811833,19,""
7811833,20,""
7811833,21,""
7811833,22,""
7811833,23,""
7811833,24,""
7811833,25,""
7811833,26,""
7811833,27,""
7811833,28,""
7811833,29,""
7811833,30,""
7811833,31,""
7811833,32,""
7811833,33,""
7811833,34,""
7811833,35,""
7811833,36,""
7811833,37,""
7811833,38,""
7811833,39,""
7811833,40,""
7811833,41,""
7811833,42,""
7811833,43,""
7811833,44,""
7811833,45,""
7811833,46,""
7811833,47,""
7811833,48,""
7811833,49,""
7811833,50,""
7811833,51,""
7811833,52,""
7811833,53,""
7811833,54,""
7811833,55,""
7811833,56,""
7811833,57,""
7811833,58,""
7811833,59,""
7811833,60,""
7811833,61,""
7811833,62,""
7811833,63,""
7811833,64,""
7811833,65,""
